0,ITM-0,683
1,ITM-1,503
2,ITM-2,462
3,ITM-3,836
4,ITM-4,551
5,ITM-5,673
6,ITM-6,881
7,ITM-7,803
8,ITM-8,996
9,ITM-9,321
10,ITM-10,816
11,ITM-11,47
12,ITM-12,716
13,ITM-13,447
14,ITM-14,614
15,ITM-15,916
16,ITM-16,850
17,ITM-17,799
18,ITM-18,703
19,ITM-19,571
20,ITM-20,688
21,ITM-21,585
22,ITM-22,282
23,ITM-23,241
24,ITM-24,370
25,ITM-25,712
26,ITM-26,265
27,ITM-27,575
28,ITM-28,169
29,ITM-29,658
30,ITM-30,712
31,ITM-31,579
32,ITM-32,205
33,ITM-33,758
34,ITM-34,536
35,ITM-35,851
36,ITM-36,842
37,ITM-37,909
38,ITM-38,543
39,ITM-39,209
40,ITM-40,573
41,ITM-41,662
42,ITM-42,54
43,ITM-43,522
44,ITM-44,219
45,ITM-45,773
46,ITM-46,943
47,ITM-47,681
48,ITM-48,918
49,ITM-49,278
50,ITM-50,696
51,ITM-51,961
52,ITM-52,661
53,ITM-53,995
54,ITM-54,16
55,ITM-55,327
56,ITM-56,87
57,ITM-57,86
58,ITM-58,533
59,ITM-59,774
60,ITM-60,268
61,ITM-61,72
62,ITM-62,656
63,ITM-63,468
64,ITM-64,264
65,ITM-65,63
66,ITM-66,206
67,ITM-67,889
68,ITM-68,293
69,ITM-69,206
70,ITM-70,315
71,ITM-71,599
72,ITM-72,324
73,ITM-73,150
74,ITM-74,21
75,ITM-75,213
76,ITM-76,159
77,ITM-77,170
78,ITM-78,122
79,ITM-79,782
80,ITM-80,14
81,ITM-81,617
82,ITM-82,671
83,ITM-83,415
84,ITM-84,788
85,ITM-85,237
86,ITM-86,375
87,ITM-87,430
88,ITM-88,285
89,ITM-89,424
90,ITM-90,764
91,ITM-91,286
92,ITM-92,798
93,ITM-93,806
94,ITM-94,933
95,ITM-95,630
96,ITM-96,985
97,ITM-97,261
98,ITM-98,659
99,ITM-99,817
100,ITM-100,956
101,ITM-101,113
102,ITM-102,857
103,ITM-103,880
104,ITM-104,77
105,ITM-105,444
106,ITM-106,921
107,ITM-107,132
108,ITM-108,876
109,ITM-109,442
110,ITM-110,861
111,ITM-111,256
112,ITM-112,5
113,ITM-113,299
114,ITM-114,920
115,ITM-115,594
116,ITM-116,528
117,ITM-117,826
118,ITM-118,482
119,ITM-119,82
120,ITM-120,687
121,ITM-121,122
122,ITM-122,41
123,ITM-123,403
124,ITM-124,779
125,ITM-125,889
126,ITM-126,819
127,ITM-127,271
128,ITM-128,563
129,ITM-129,732
130,ITM-130,621
131,ITM-131,152
132,ITM-132,875
133,ITM-133,137
134,ITM-134,894
135,ITM-135,280
136,ITM-136,701
137,ITM-137,196
138,ITM-138,397
139,ITM-139,329
140,ITM-140,790
141,ITM-141,161
142,ITM-142,723
143,ITM-143,897
144,ITM-144,775
145,ITM-145,0
146,ITM-146,679
147,ITM-147,846
148,ITM-148,670
149,ITM-149,599
150,ITM-150,829
151,ITM-151,55
152,ITM-152,673
153,ITM-153,953
154,ITM-154,378
155,ITM-155,698
156,ITM-156,623
157,ITM-157,476
158,ITM-158,742
159,ITM-159,258
160,ITM-160,91
161,ITM-161,921
162,ITM-162,726
163,ITM-163,209
164,ITM-164,454
165,ITM-165,308
166,ITM-166,708
167,ITM-167,219
168,ITM-168,591
169,ITM-169,82
170,ITM-170,934
171,ITM-171,115
172,ITM-172,681
173,ITM-173,211
174,ITM-174,16
175,ITM-175,718
176,ITM-176,561
177,ITM-177,109
178,ITM-178,199
179,ITM-179,533
180,ITM-180,491
181,ITM-181,328
182,ITM-182,956
183,ITM-183,977
184,ITM-184,144
185,ITM-185,648
186,ITM-186,256
187,ITM-187,375
188,ITM-188,550
189,ITM-189,533
190,ITM-190,578
191,ITM-191,763
192,ITM-192,796
193,ITM-193,542
194,ITM-194,498
195,ITM-195,728
196,ITM-196,688
197,ITM-197,188
198,ITM-198,585
199,ITM-199,789
200,ITM-200,303
201,ITM-201,507
202,ITM-202,895
203,ITM-203,828
204,ITM-204,57
205,ITM-205,243
206,ITM-206,73
207,ITM-207,156
208,ITM-208,190
209,ITM-209,189
210,ITM-210,77
211,ITM-211,174
212,ITM-212,929
213,ITM-213,720
214,ITM-214,339
215,ITM-215,540
216,ITM-216,31
217,ITM-217,700
218,ITM-218,674
219,ITM-219,701
220,ITM-220,948
221,ITM-221,646
222,ITM-222,843
223,ITM-223,46
224,ITM-224,267
225,ITM-225,649
226,ITM-226,790
227,ITM-227,667
228,ITM-228,31
229,ITM-229,374
230,ITM-230,536
231,ITM-231,666
232,ITM-232,578
233,ITM-233,546
234,ITM-234,958
235,ITM-235,608
